name,switch_motor,set,doubles,doubles2,blackboard,i2c
sc,0,0,30,47,0,0
sc,0,0,32,55,0,0
sc,0,1,31,46,0,0
sc,0,1,26,48,1,0
sc,0,1,27,43,0,0
sc,0,0,26,47,0,0
sc,1,0,36,48,1,0
sc,0,1,30,49,0,0
sc,0,0,25,46,0,0
sc,0,0,26,48,0,0
sc,0,1,27,47,0,0
sc,0,0,27,47,0,0
sc,0,1,36,62,1,0
sc,0,1,38,57,0,0
sc,1,0,30,46,0,0
sc,0,1,27,45,0,0
sc,0,1,37,61,0,0
sc,0,0,34,48,0,0
sc,1,0,30,50,0,0
sc,0,0,29,43,0,0
sc,0,0,26,44,0,0
sc,0,1,26,45,0,0
sc,0,0,26,43,0,0
sc,0,0,29,49,0,0
sc,0,0,31,48,0,0
sc,1,0,27,48,0,0
sc,1,0,31,50,0,0
sc,0,0,26,44,0,0
sc,0,0,28,59,0,0
sc,0,0,34,51,0,0
sc,0,0,29,51,0,0
sc,0,0,31,47,0,0
sc,0,1,32,47,0,0
sc,0,0,25,46,0,0
sc,0,0,26,57,0,0
sc,1,0,35,53,0,0
sc,0,0,32,51,0,0
sc,0,0,26,44,0,0
sc,0,0,26,45,0,0
sc,0,0,25,50,0,0
sc,0,1,40,57,0,0
sc,1,0,36,53,0,0
sc,0,1,29,47,0,0
sc,0,0,26,42,0,0
sc,0,0,26,45,0,0
sc,0,0,34,59,0,0
sc,0,1,33,48,0,0
sc,0,0,33,53,0,0
sc,0,0,30,49,1,0
sc,0,0,30,46,0,0
sc,0,0,23,43,0,0
sc,0,0,30,72,0,0
sc,0,0,41,59,0,0
sc,0,0,31,47,0,0
sc,0,1,29,50,0,0
sc,1,0,27,64,1,0
sc,1,0,35,51,0,0
sc,1,0,30,50,1,0
sc,0,0,31,47,0,0
sc,0,0,31,46,0,0
sc,0,0,27,44,0,0
sc,0,0,25,45,0,0
sc,0,0,28,48,0,0
sc,0,0,29,46,0,0
sc,0,0,31,46,0,0
sc,0,0,28,49,0,0
sc,0,0,27,45,0,0
sc,0,0,29,45,0,0
sc,0,1,30,53,0,0
sc,0,1,32,51,0,0
sc,0,0,31,48,0,0
sc,0,0,29,45,0,0
sc,0,0,30,43,0,0
sc,0,0,29,53,0,0
sc,0,1,38,53,0,0
sc,1,0,32,55,0,0
sc,0,1,29,50,0,0
sc,0,0,26,46,0,0
sc,0,0,28,47,0,0
sc,0,1,29,52,0,0
sc,1,0,36,55,0,0
sc,0,0,39,50,0,0
sc,1,0,25,44,0,0
sc,0,0,30,46,0,0
sc,0,0,32,50,0,0
sc,0,0,27,46,0,0
sc,0,1,30,74,0,0
sc,0,1,33,44,0,0
sc,0,0,29,44,0,0
sc,0,0,27,44,0,0
sc,0,0,29,48,1,0
sc,0,1,31,48,0,0
sc,0,0,32,51,0,0
sc,0,0,29,47,0,0
sc,0,1,28,46,0,0
sc,0,0,28,46,0,0
sc,0,0,27,50,0,0
sc,0,0,31,52,0,0
sc,0,1,29,52,0,0
sc,0,0,32,46,0,0
sc,0,0,29,47,0,0
sc,0,1,25,46,0,0
sc,0,1,27,54,0,0
sc,0,1,28,52,1,0
sc,0,0,33,58,0,0
sc,0,1,33,48,0,0
sc,1,0,28,48,0,0
sc,0,0,40,46,0,0
sc,0,1,33,57,0,0
sc,0,0,36,51,0,0
sc,0,0,31,56,0,0
sc,0,0,32,50,0,0
sc,0,1,33,46,0,0
sc,0,0,26,53,0,0
sc,0,0,32,50,0,0
sc,0,1,31,50,0,0
sc,0,0,28,44,0,0
sc,0,0,34,49,0,0
sc,0,0,29,47,0,0
sc,0,0,28,50,0,0
sc,0,1,30,49,0,0
sc,0,0,30,48,0,0
sc,0,0,26,44,0,0
sc,0,0,25,42,0,0
sc,0,0,28,44,0,0
sc,0,0,30,63,0,0
sc,0,1,33,53,0,0
sc,0,1,33,48,0,0
sc,0,0,30,49,0,0
sc,0,0,27,48,0,0
sc,0,0,27,54,0,0
sc,0,1,37,62,0,0
sc,1,0,36,49,0,0
sc,0,0,29,49,0,0
sc,1,0,32,48,0,0
sc,0,0,31,78,0,0
sc,0,0,43,59,0,0
sc,1,0,31,46,0,0
sc,0,0,26,46,0,0
sc,1,0,25,48,0,0
sc,0,1,30,61,0,0
sc,0,0,36,49,0,0
sc,0,0,28,48,0,0
sc,0,0,27,66,0,0
sc,0,0,26,42,0,0
sc,0,1,26,46,0,0
sc,0,0,37,55,0,0
sc,0,1,34,47,0,0
sc,0,1,28,48,0,0
sc,0,0,28,47,0,0
sc,0,0,26,47,0,0
sc,0,0,26,49,0,0
sc,0,0,30,46,0,0
sc,0,0,31,53,0,0
sc,0,0,34,48,0,0
sc,0,1,31,66,0,0
